blind_review_id,current_label,loop106_focus_bucket,loop106_focus_reasons,review_tags,content_evidence_fields,source_size_bytes,file_entropy,pe_parse_status,pe_number_of_sections,pe_section_names,pe_has_import_directory,pe_import_directory_size,pe_has_resource_directory,pe_resource_directory_size,pe_has_security_directory,pe_security_directory_size,overlay_size,overlay_entropy,overlay_after_security_size,overlay_after_security_entropy,duplicate_manifest_sha_group,manifest_duplicate_group_size,objective_issue_count,objective_issue_flags
blind-01793,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|many_sections|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,2885280,7.949239,ok,9,|        |        |        |        |.idata|.rsrc|.themida|.boot,true,220,true,2634,false,0,16032,7.433809,16032,7.433809,false,,0,
blind-00519,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|many_sections|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,5744720,7.967684,ok,9,|        |        |        |.idata|.tls|.rsrc|.themida|.boot,true,528,true,157456,false,0,15440,7.353705,15440,7.353705,false,,0,
blind-00938,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|many_sections|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,4114952,7.968855,ok,8,|        |        |        |.idata|.rsrc|.themida|.boot,true,360,true,115824,false,0,18440,7.187889,18440,7.187889,false,,0,
blind-00141,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,no_import_directory|has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,535750,7.923424,ok,2,.rsrc|.its,false,0,true,16,false,0,533858,7.930337,533858,7.930337,false,,0,
blind-00168,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,14628661,7.999853,ok,5,.text|.rdata|.data|.ndata|.rsrc,true,160,true,29256,false,0,14564661,7.999988,14564661,7.999988,false,,0,
blind-00214,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,4522086,7.962037,ok,6,.text|.rdata|.data|.pdata|.rsrc|.reloc,true,120,true,117092,false,0,4140134,7.999364,4140134,7.999364,false,,0,
blind-00239,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,46841827,7.997444,ok,7,.text|.rdata|.data|.pdata|_rdata|.rsrc|.reloc,true,120,true,38528,false,0,46571491,7.997455,46571491,7.997455,false,,0,
blind-00452,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,8470880,7.999551,ok,5,.text|.rdata|.data|.ndata|.rsrc,true,160,true,17936,false,0,8418144,7.999979,8418144,7.999979,false,,0,
blind-00533,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,188637260,7.986109,ok,5,.text|.rdata|.data|.rsrc|.reloc,true,40,true,156596,false,0,185415756,7.999885,185415756,7.999885,false,,0,
blind-00595,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,1659510,7.990933,ok,5,.text|.rdata|.data|.ndata|.rsrc,true,180,true,21992,false,0,1607286,7.999895,1607286,7.999895,false,,0,
blind-00754,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,5749339,7.984515,ok,7,.text|.rdata|.data|.pdata|_rdata|.rsrc|.reloc,true,60,true,61452,false,0,5429851,7.999029,5429851,7.999029,false,,0,
blind-00755,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,no_import_directory|has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,798422,7.947073,ok,2,.rsrc|.its,false,0,true,16,false,0,796530,7.951149,796530,7.951149,false,,0,
blind-00759,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,512615,7.974357,ok,5,.text|.rdata|.data|.ndata|.rsrc,true,180,true,4096,false,0,478311,7.999658,478311,7.999658,false,,0,
blind-00762,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,534146,7.967184,ok,4,.text|.rdata|.data|.rsrc,true,180,true,3544,false,0,497794,7.997449,497794,7.997449,false,,0,
blind-00805,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,37229230,7.999978,ok,5,.text|.rdata|.data|.ndata|.rsrc,true,160,true,54824,false,0,37139630,7.999995,37139630,7.999995,false,,0,
blind-00910,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,106283798,7.999935,ok,5,.text|.rdata|.data|.ndata|.rsrc,true,160,true,59520,false,0,106189078,7.999950,106189078,7.999950,false,,0,
blind-00917,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,421447,7.911623,ok,5,.text|.rdata|.data|.ndata|.rsrc,true,160,true,54824,false,0,331847,7.999400,331847,7.999400,false,,0,
blind-01002,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,26134986,7.997000,ok,4,.text|.rdata|.data|.rsrc,true,220,true,80404,false,0,25512394,7.999990,25512394,7.999990,false,,0,
blind-01036,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,6936246,7.992289,ok,4,.text|.rdata|.data|.rsrc,true,160,true,70152,false,0,6772406,7.999338,6772406,7.999338,false,,0,
blind-01050,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,1669134,7.957388,ok,4,.text|.rdata|.data|.rsrc,true,160,true,182952,false,0,1390606,7.999077,1390606,7.999077,false,,0,
blind-01087,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,6955303,7.992116,ok,4,.text|.rdata|.data|.rsrc,true,160,true,5104,false,0,6759207,7.997727,6759207,7.997727,false,,0,
blind-01187,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,102260828,7.997144,ok,6,.text|.rdata|.data|.eh_fram|.rsrc|.reloc,true,280,true,29560,false,0,100861020,7.998193,100861020,7.998193,false,,0,
blind-01222,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,10295668,7.993686,ok,7,.text|.rdata|.data|.pdata|_rdata|.rsrc|.reloc,true,60,true,61444,false,0,9980276,7.997651,9980276,7.997651,false,,0,
blind-01227,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,17365114,7.995436,ok,6,.text|.rdata|.data|.pdata|.rsrc|.reloc,true,120,true,62492,false,0,17037434,7.997528,17037434,7.997528,false,,0,
blind-01284,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,421098,7.912191,ok,5,.text|.rdata|.data|.ndata|.rsrc,true,160,true,54432,false,0,332010,7.999515,332010,7.999515,false,,0,
